month,sector,num_new_house_transactions,price_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,area_pre_owned_house_transactions,amount_pre_owned_house_transactions,num_pre_owned_house_transactions,price_pre_owned_house_transactions,num_land_transactions,planned_building_area,transaction_amount,num_new_house_transactions_nearby_sectors,area_new_house_transactions_nearby_sectors,amount_new_house_transactions_nearby_sectors,price_new_house_transactions_nearby_sectors,num_pre_owned_house_transactions_nearby_sectors,amount_pre_owned_house_transactions_nearby_sectors,price_pre_owned_house_transactions_nearby_sectors,num_land_transactions_nearby_sectors,planned_building_area_nearby_sectors,transaction_amount_nearby_sectors,date,month_num,quarter,year,days_in_month,month_sin,month_cos,amount_new_house_transactions_lag_1,amount_new_house_transactions_lag_2,amount_new_house_transactions_lag_3,amount_new_house_transactions_lag_6,amount_new_house_transactions_lag_12,amount_new_house_transactions_rolling_mean_3,amount_new_house_transactions_rolling_std_3,amount_new_house_transactions_rolling_mean_6,amount_new_house_transactions_rolling_std_6,amount_new_house_transactions_rolling_mean_12,amount_new_house_transactions_rolling_std_12,price_change_1m,price_change_3m,price_change_6m,supply_demand_ratio,new_vs_preowned_price_ratio,local_vs_nearby_ratio,ewgm_pred
2019-11-01,sector 1,41,37158,15092.94,99,82.0,9436.0,2.13,12503.0,51202.0,150.0,40951.77157,0.0,0.0,0.0,29.55555556,3362.222222,11321.91889,33673.91606,11.75,2643.5,20330.70563,0.0,0.0,0.0,2019-11-01,11,4,2019,30,-0.5000000000000004,0.8660254037844384,11949.09,13982.09,29794.76,8649.42,,18575.31333333333,9769.353094224478,16469.475000000002,7526.395079863266,17135.696,7409.856606117736,0.1605346992316823,-0.218926702120951,0.6451055917120467,1.9523809523809523,0.9073378571334629,1.332954880859347,9286.905188442819
2019-12-01,sector 1,48,50012,22931.65,96,293.0,36501.0,8.13,12588.0,54327.0,159.0,43157.7693,1.0,154887.0,526616.0,22.44444444,2454.444444,13703.83667,55832.74332,20.0,4538.5,20559.4564,0.0,0.0,0.0,2019-12-01,12,4,2019,31,-2.4492935982947064e-16,1.0,15092.94,11949.09,13982.09,20116.16,,13674.706666666667,1594.305990339835,17543.395,6588.700598687876,16949.99090909091,7056.537934397369,0.34592819850368706,0.5600474140620126,0.0592172145035581,5.979591836734694,1.1587911520915404,1.6732523380010482,9286.905188442819
2020-01-01,sector 1,19,44297,7368.96,88,165.0,19402.0,4.72,8010.0,31893.0,100.0,39816.4794,0.0,0.0,0.0,7.555555556,1265.777778,9226.245556,72889.93153,14.25,2569.25,19091.58462,0.0,0.0,0.0,2020-01-01,1,1,2020,31,0.49999999999999994,0.8660254037844387,22931.65,15092.94,11949.09,14325.33,13827.14,16657.893333333337,5656.05562561344,18012.643333333333,6901.418493404573,17448.462499999998,6946.194736900753,-0.11427257458210027,0.38350302954588034,0.21668314656119536,8.25,1.112501360395003,0.7986088541025492,9286.905188442819
2020-02-01,sector 1,3,95852,2838.07,99,162.0,19106.0,6.13,747.0,4061.0,9.0,54364.12316,0.0,0.0,0.0,2.888888889,401.1111111,2411.638889,60123.96122,4.75,884.25,20176.8397,0.0,0.0,0.0,2020-02-01,2,1,2020,29,0.8660254037844386,0.5000000000000001,7368.96,22931.65,15092.94,29794.76,8802.81,15131.183333333336,7781.4154832802415,16853.248333333333,8121.261241845175,16910.280833333334,7481.811608979665,1.1638485676230896,1.5795790946767858,1.0148403506190484,40.5,1.7631156599774729,1.1763343502998638,9286.905188442819
2020-03-01,sector 1,5,83649,7902.03,189,158.0,18361.0,7.21,7086.0,31072.0,89.0,43849.84476,0.0,0.0,0.0,12.44444444,1652.888889,10057.09667,60845.57005,8.75,1394.5,18372.85903,0.0,0.0,0.0,2020-03-01,3,1,2020,31,1.0,6.123233995736766e-17,2838.07,7368.96,22931.65,13982.09,23283.48,11046.22666666667,10539.435796447246,12360.466666666667,6893.567982723215,16413.219166666666,8230.120651350755,-0.1273108542336101,0.6725785811405263,1.6093018903237883,26.333333333333332,1.9075801266274168,0.7856387007662354,9286.905188442819
2020-04-01,sector 1,7,95126,8227.42,124,154.0,17793.0,8.6,15228.0,69855.0,188.0,45872.73444,1.0,58168.0,208138.0,16.66666667,2139.666667,12684.06667,59280.5733,43.0,8396.5,19868.67014,0.0,0.0,0.0,2020-04-01,4,2,2020,30,0.8660254037844387,-0.49999999999999983,7902.03,2838.07,7368.96,11949.09,26626.68,6036.353333333335,2782.5892827425428,11347.123333333335,7052.562721030321,15131.43166666667,8260.573676229464,0.13720427022439008,1.1474591958823397,1.9710163033293773,19.25,2.0736484866829166,0.6485909939644015,9286.905188442819
2020-05-01,sector 1,8,72615,6684.47,115,145.0,16771.0,10.85,14592.0,66631.0,177.0,45662.69189,0.0,0.0,0.0,17.66666667,1971.555556,10913.97889,55357.1968,20.25,4161.75,18833.57846,0.0,0.0,0.0,2020-05-01,5,2,2020,31,0.49999999999999994,-0.8660254037844387,8227.42,7902.03,2838.07,15092.94,8649.42,6322.506666666668,3021.99335307569,10726.845000000001,7151.991588721979,13598.159999999998,7615.30415358322,-0.23664403002333745,-0.24242582314401373,0.9542225092846763,16.11111111111111,1.5902130772720575,0.6124125449407992,9286.905188442819
2020-06-01,sector 1,32,58177,19116.77,103,133.0,15452.0,11.62,22157.0,98516.0,250.0,44462.69802,0.0,0.0,0.0,63.55555556,6120.222222,31039.08222,50715.61309,39.0,7613.0,18697.1204,0.125,11756.375,41861.125,2020-06-01,6,2,2020,30,1.2246467991473532e-16,-1.0,6684.47,8227.42,7902.03,22931.65,20116.16,7604.64,813.3291367584766,9325.433333333332,6946.210485732964,13434.414166666667,7751.2976058598315,-0.198829442952558,-0.3045105141723152,0.16326081740382303,4.03030303030303,1.3084156871934423,0.6158736908139543,9286.905188442819
2020-07-01,sector 1,31,33855,9567.28,91,128.0,14818.0,9.73,22422.0,111036.0,268.0,49521.00615,0.0,0.0,0.0,22.33333333,2378.888889,13240.74667,55659.37412,63.5,14410.75,21994.42918,0.0,0.0,0.0,2020-07-01,7,3,2020,31,-0.4999999999999998,-0.8660254037844388,19116.77,6684.47,8227.42,7368.96,14325.33,11342.886666666667,6776.438610054218,8689.62,5469.2740054087535,13351.131666666668,7678.00263479061,-0.41806899633875927,-0.6441036099489099,-0.2357270244034585,4.0,0.6836354710157476,0.7225089135465239,9286.905188442819
2020-08-01,sector 1,33,34861,10356.47,90,123.0,14220.0,7.22,25566.0,119613.0,309.0,46785.96574,0.0,0.0,0.0,16.33333333,2015.333333,11418.23889,56656.82545,22.75,4943.0,21804.14645,0.0,0.0,0.0,2020-08-01,8,3,2020,31,-0.8660254037844384,-0.5000000000000004,9567.28,19116.77,6684.47,2838.07,29794.76,11789.506666666668,6507.245142226741,9056.006666666666,5436.644182473833,12954.627500000002,7745.678287399574,0.029714960862501805,-0.5199201266955863,-0.6363038851562826,3.6176470588235294,0.745100680256253,0.9069317228374403,9286.905188442819
2020-09-01,sector 1,35,50282,16873.79,96,118.0,13430.0,5.66,25555.0,121632.0,306.0,47596.16513,0.0,0.0,0.0,10.55555556,1412.0,8463.522222,59939.95908,36.75,7614.5,21473.49126,0.0,0.0,0.0,2020-09-01,9,3,2020,30,-1.0,-1.8369701987210297e-16,10356.47,9567.28,19116.77,7902.03,13982.09,13013.506666666668,5300.289869529166,10309.073333333334,4503.17470010065,11334.769999999999,5653.831793044114,0.44235678838817005,-0.13570655069872972,-0.3988929933412234,3.2777777777777777,1.0564074533150667,1.9934722312079958,9286.905188442819
2020-10-01,sector 1,30,56244,17459.4,103,113.0,12649.0,4.61,17505.0,77412.0,210.0,44222.79349,0.0,0.0,0.0,19.66666667,2521.777778,12909.62778,51192.56697,59.25,11678.0,19579.99749,0.125,11391.375,58622.25,2020-10-01,10,4,2020,31,-0.8660254037844386,0.5000000000000001,16873.79,10356.47,9567.28,8227.42,11949.09,12265.84666666667,4010.057547770795,11804.366666666669,5005.57981230812,11575.745,5835.623869078147,0.1185712581042917,0.6613203367301728,-0.40874208943927004,3.6451612903225805,1.2718040575311127,1.3523277332064794,9286.905188442819
2020-11-01,sector 1,14,81090,16218.94,143,106.0,11572.0,3.96,23972.0,112309.0,284.0,46850.07509,0.0,0.0,0.0,30.0,3560.0,22481.96667,63151.59176,18.25,4167.0,22612.94261,0.0,0.0,0.0,2020-11-01,11,4,2020,30,-0.5000000000000004,0.8660254037844384,17459.4,16873.79,10356.47,6684.47,15092.94,14896.553333333335,3942.7150890260205,13343.03,5104.098190901106,12034.9375,6079.3785717129285,0.44175378707062096,1.3260950632511976,0.11671142325965711,7.066666666666666,1.73080339873157,0.7213878950255099,9286.905188442819
2020-12-01,sector 1,52,60682,32730.56,104,97.0,10390.0,3.17,27024.0,125453.0,339.0,46422.80935,0.0,0.0,0.0,40.77777778,4878.555556,28537.75111,58496.31266,33.5,7411.0,22887.58493,0.0,0.0,0.0,2020-12-01,12,4,2020,31,-2.4492935982947064e-16,1.0,16218.94,17459.4,16873.79,19116.77,22931.65,16850.710000000003,620.5519862993478,14932.108333333335,3975.9906707507025,12128.770833333334,6139.263527765676,-0.2516709828585523,0.2068334592896066,0.04305825326159818,1.830188679245283,1.307130992687484,1.146881300931602,9286.905188442819
2021-01-01,sector 1,230,59704,139229.64,101,101.0,11052.0,1.65,28749.0,159699.0,339.0,55549.41041,0.0,0.0,0.0,12.66666667,1698.222222,11696.44778,68874.65977,136.0,27408.5,19512.34271,0.0,0.0,0.0,2021-01-01,1,1,2021,31,0.49999999999999994,0.8660254037844387,32730.56,16218.94,17459.4,9567.28,7368.96,22136.300000000003,9195.838404604548,17201.073333333334,8335.78771932603,12945.346666666666,8058.457379876054,-0.01611680564252993,0.06151767299623079,0.7635208979471275,0.43722943722943725,1.074771537407981,11.902565638125893,9286.905188442819
2021-02-01,sector 1,47,70875,39535.28,119,216.0,20615.0,2.89,17744.0,91679.0,223.0,51667.60595,0.0,0.0,0.0,9.444444444,1331.333333,9788.008889,73520.34719,67.25,13128.75,19620.7734,0.0,0.0,0.0,2021-02-01,2,1,2021,28,0.8660254037844386,0.5000000000000001,139229.64,32730.56,16218.94,10356.47,2838.07,62726.380000000005,66766.15903080541,38811.46666666667,49755.53932266263,23933.736666666668,37150.818130859356,0.18710639153155562,-0.12597114317425084,1.0330742090014629,4.5,1.3717227066003317,4.0387418632775125,9286.905188442819
2021-03-01,sector 1,89,67835,64290.01,106,166.0,15151.0,1.86,16837.0,91010.0,211.0,54053.57249,0.0,0.0,0.0,9.888888889,1143.555556,8596.895556,75176.89468,107.5,22162.25,20047.26368,0.0,0.0,0.0,2021-03-01,3,1,2021,31,1.0,6.123233995736766e-17,39535.28,139229.64,32730.56,16873.79,7902.03,70498.49333333333,59620.08004989371,43674.60166666667,47805.86793421345,26991.837500000005,36764.82187128791,-0.042892416225749574,0.1178768003691375,0.3490911260490832,1.8444444444444446,1.2549354638323955,7.477412301796982,9286.905188442819
2021-04-01,sector 1,22,52463,12449.91,108,141.0,12037.0,1.5,16238.0,84581.0,212.0,52088.31137,0.0,0.0,0.0,12.88888889,1609.777778,10920.89,67840.97874,140.75,27084.75,19145.56347,0.0,0.0,0.0,2021-04-01,4,2,2021,30,0.8660254037844387,-0.49999999999999983,64290.01,39535.28,139229.64,17459.4,8227.42,81018.31000000001,51909.713634539534,51577.305,46387.49891862495,31690.83583333333,37694.874617736335,-0.22660868283334556,-0.12128165617044084,-0.06722494843894455,6.130434782608695,1.0071739982766448,1.1399043572129,9286.905188442819
2021-05-01,sector 1,188,71201,121427.16,91,406.0,35205.0,3.34,16031.0,80664.0,206.0,50317.50982,0.0,0.0,0.0,13.44444444,1356.777778,9118.002222,67203.35763,47.25,9433.25,19843.80752,0.0,0.0,0.0,2021-05-01,5,2,2021,31,0.49999999999999994,-0.8660254037844387,12449.91,64290.01,39535.28,16218.94,6684.47,38758.4,25928.780320394944,50742.39000000001,47162.9926514016,32042.710000000003,37475.003615890906,0.3571660027066694,0.0045996472663139,-0.12195091873227282,2.1481481481481484,1.4150061330254236,13.315838404672341,9286.905188442819
2021-06-01,sector 1,313,71381,225333.13,101,676.0,64402.0,4.32,10741.0,60207.0,149.0,56053.44009,0.0,0.0,0.0,12.66666667,1485.222222,10810.63889,72788.02274,51.25,11070.75,20650.53162,0.0,0.0,0.0,2021-06-01,6,2,2021,30,1.2246467991473532e-16,-1.0,121427.16,12449.91,64290.01,32730.56,19116.77,66055.69333333334,54510.07689056981,68277.09333333334,51149.609115423635,41604.60083333334,44412.853735585166,0.002528054381258693,0.05227389990417919,0.17631258033683794,2.1528662420382165,1.273422763395584,20.841718105144743,9286.905188442819
2021-07-01,sector 1,154,66839,99181.39,96,361.0,32771.0,2.43,11312.0,60362.0,158.0,53361.03253,0.0,0.0,0.0,13.88888889,1738.888889,14411.62778,82878.37061,42.75,9005.25,20152.73582,0.0,0.0,0.0,2021-07-01,7,3,2021,31,-0.4999999999999998,-0.8660254037844388,225333.13,121427.16,12449.91,139229.64,9567.28,119736.73333333334,106451.6768121979,100377.52166666667,77848.35282730893,58789.29750000001,68360.15695376499,-0.06363037783163583,0.2740216914778033,0.11950623073830902,2.329032258064516,1.2525572365037498,6.881561885448206,9286.905188442819
2021-08-01,sector 1,77,69662,50057.77,93,152.0,14815.0,1.08,9600.0,57475.0,115.0,59869.79167,0.0,0.0,0.0,9.666666667,1173.333333,9026.843333,76933.32386,42.25,10490.75,22747.87228,0.0,0.0,0.0,2021-08-01,8,3,2021,31,-0.8660254037844384,-0.5000000000000004,99181.39,225333.13,121427.16,39535.28,10356.47,148647.22666666668,67336.94675481085,93702.81333333334,75533.38789382103,66257.14,67382.02600685802,0.042235820404255,-0.021614864959761837,-0.017114638447971786,1.9487179487179487,1.163538982146217,5.544820413201115,9286.905188442819
2021-09-01,sector 1,36,62064,22291.01,100,146.0,14931.0,1.17,5966.0,37268.0,67.0,62467.31478,0.0,0.0,0.0,8.222222222,1001.777778,7152.883333,71401.89663,48.0,13817.0,23799.84497,0.0,0.0,0.0,2021-09-01,9,3,2021,30,-1.0,-1.8369701987210297e-16,50057.77,99181.39,225333.13,64290.01,16873.79,124857.43,90414.64056414536,95456.56166666666,74133.36330484797,69565.58166666667,65331.2517194176,-0.10906950704831908,-0.13052492960311568,-0.08507407680400969,3.945945945945946,0.9935276822910317,3.115931440644868,9286.905188442819
2021-10-01,sector 1,33,53084,17255.42,99,135.0,13659.0,1.06,4847.0,26167.0,55.0,53985.9707,0.0,0.0,0.0,3.222222222,402.0,2686.971111,66840.07739,29.75,6606.75,19961.47745,0.0,0.0,0.0,2021-10-01,10,4,2021,31,-0.8660254037844386,0.5000000000000001,22291.01,50057.77,99181.39,12449.91,17459.4,57176.72333333333,38936.387307475394,88456.72833333333,79456.44817404424,70017.01666666666,64951.668505406014,-0.14468935292601182,-0.20579302503029673,0.011836913634370783,3.9705882352941178,0.9832742847340387,6.4194960761987145,9286.905188442819
2021-11-01,sector 1,23,50638,11267.58,97,153.0,16606.0,1.59,8846.0,49511.0,104.0,55969.92991,0.0,0.0,0.0,14.33333333,1584.555556,9157.154444,57790.04979,28.25,7672.5,22649.44649,0.0,0.0,0.0,2021-11-01,11,4,2021,30,-0.5000000000000004,0.8660254037844384,17255.42,22291.01,50057.77,121427.16,16218.94,29868.066666666666,17665.14597103659,89257.64666666667,78556.19241833828,70000.01833333334,64966.69860489601,-0.04607791424911456,-0.27309006344922626,-0.28880212356568025,6.375,0.9047196478855143,1.2303330402319212,9286.905188442819
2021-12-01,sector 1,36,66816,24490.89,102,125.0,13592.0,2.35,10221.0,51012.0,126.0,49909.01086,0.0,0.0,0.0,71.44444444,7711.888889,52496.42444,68072.07054,39.25,8843.0,20393.19689,0.0,0.0,0.0,2021-12-01,12,4,2021,31,-2.4492935982947064e-16,1.0,11267.58,17255.42,22291.01,225333.13,32730.56,16938.00333333333,5518.565687425491,70897.71666666666,82316.98192872858,69587.405,65353.89195654261,0.31948339191911224,0.07656612529002316,-0.06395259242655604,3.3783783783783785,1.3387294221879076,0.46651602933380015,9286.905188442819
2022-01-01,sector 1,5,46576,2116.24,91,118.0,12871.0,3.79,9568.0,53876.0,117.0,56308.52843,0.0,0.0,0.0,8.555555556,1047.333333,7390.746667,70567.28199,32.5,8446.75,22294.29231,0.0,0.0,0.0,2022-01-01,1,1,2022,31,0.49999999999999994,0.8660254037844387,24490.89,11267.58,17255.42,99181.39,139229.64,17671.296666666665,6621.457308661742,37424.01,33047.81387949703,68900.76583333334,65817.96804561578,-0.30292145593869735,-0.12259814633411192,-0.30316132796720474,19.666666666666668,0.8271424268434422,0.28629769056450804,9286.905188442819
2022-02-01,sector 1,2,76724,1700.66,111,116.0,12650.0,5.66,4712.0,24314.0,61.0,51600.16978,0.0,0.0,0.0,10.66666667,1458.333333,11951.24444,81951.39048,24.0,5834.25,21201.96239,0.0,0.0,0.0,2022-02-01,2,1,2022,28,0.8660254037844386,0.5000000000000001,2116.24,24490.89,11267.58,50057.77,39535.28,12624.903333333334,11248.910419637536,21246.484999999997,16267.641244041037,57474.64916666667,64384.78274368006,0.647286155960151,0.5151467277538608,0.1013752117366713,38.666666666666664,1.4868655173344019,0.14228791994150347,9286.905188442819
2022-03-01,sector 1,9,53818,4627.08,96,113.0,12312.0,6.92,10348.0,53396.0,141.0,51600.30924,0.0,0.0,0.0,13.33333333,1953.333333,14819.29667,75866.70648,40.5,7989.25,19194.54622,0.0,0.0,0.0,2022-03-01,3,1,2022,31,1.0,6.123233995736766e-17,1700.66,2116.24,24490.89,22291.01,64290.01,9435.929999999998,13039.633512307642,13186.966666666665,9852.866336366342,54321.76416666667,66242.6884020531,-0.29855064907981854,-0.19453424329501912,-0.13286285125032227,11.3,1.0429580332872965,0.31221237354623077,9286.905188442819
2022-04-01,sector 1,7,57006,3514.44,88,108.0,11839.0,8.83,10680.0,55382.0,138.0,51855.80524,0.0,0.0,0.0,13.44444444,1555.222222,12920.62556,83078.96692,40.5,9249.75,20156.35215,0.0,0.0,0.0,2022-04-01,4,2,2022,30,0.8660254037844387,-0.49999999999999983,4627.08,1700.66,2116.24,17255.42,12449.91,2814.6599999999985,1583.2960482476012,10242.978333333333,9206.307903841305,49349.85333333333,67650.56498820853,0.05923668661042769,0.22393507385778078,0.07388290256951247,13.5,1.0992964131933862,0.2719812599181987,9286.905188442819
2022-05-01,sector 1,8,66618,5676.93,107,104.0,11297.0,10.16,9199.0,48497.0,116.0,52719.86085,0.0,0.0,0.0,14.11111111,2141.0,16294.00444,76104.64477,40.0,9660.5,21485.68251,0.125,8762.125,26340.5,2022-05-01,5,2,2022,31,0.49999999999999994,-0.8660254037844387,3514.44,4627.08,1700.66,11267.58,121427.16,3280.7266666666656,1477.1424933735439,7952.814999999999,8813.742990538358,48605.230833333335,68141.039643646,0.16861383012314501,-0.13171888848339508,0.31557328488486913,11.555555555555555,1.2635984869355563,0.34838468568100617,9286.905188442819
2022-06-01,sector 1,8,67997,5962.77,110,99.0,10649.0,16.46,11787.0,62050.0,135.0,52642.742,0.0,0.0,0.0,27.66666667,3043.888889,20454.39556,67198.23325,50.0,11843.75,21913.59452,0.0,0.0,0.0,2022-06-01,6,2,2022,30,1.2246467991473532e-16,-1.0,5676.93,3514.44,4627.08,24490.89,225333.13,4606.149999999999,1081.396920051327,7021.04,8687.843059592753,38959.378333333334,65016.43856493482,0.020700111081089156,0.2634620387231037,0.017675407088122652,11.0,1.2916445035385213,0.29150108500761746,9286.905188442819
2022-07-01,sector 1,3,84101,2415.63,96,533.0,48891.0,78.98,8809.0,42102.0,114.0,47794.30128,0.0,0.0,0.0,24.77777778,3174.111111,26129.52333,82320.75822,43.25,8068.0,17317.95009,0.25,32027.125,120063.125,2022-07-01,7,3,2022,31,-0.4999999999999998,-0.8660254037844388,5962.77,5676.93,3514.44,2116.24,99181.39,5051.379999999999,1338.680151902053,3933.0200000000004,1794.5560113057834,20678.515,28351.417153930972,0.23683397796961625,0.4753008455250325,0.805672449330127,133.25,1.7596081151849996,0.09244476161052072,9286.905188442819
2022-08-01,sector 1,214,78113,150994.98,90,351.0,33411.0,8.78,9295.0,49953.0,111.0,53741.79666,0.0,0.0,0.0,18.0,2399.777778,19309.93,80465.49218,43.25,10487.5,21408.52258,0.0,0.0,0.0,2022-08-01,8,3,2022,31,-0.8660254037844384,-0.5000000000000004,2415.63,5962.77,5676.93,1700.66,50057.77,4685.11,1970.6168397728916,3982.9183333333335,1737.1816353077168,12614.701666666666,14245.771176540244,-0.07120010463609228,0.17255096220240773,0.018103852770971374,1.6325581395348838,1.453459902620557,7.819145944809494,9286.905188442819
2022-09-01,sector 1,42,80025,32537.37,97,290.0,26824.0,6.18,7615.0,40927.0,95.0,53745.23966,0.0,0.0,0.0,13.88888889,1929.0,17289.82111,89631.00628,56.0,11028.75,19764.78495,0.0,0.0,0.0,2022-09-01,9,3,2022,30,-1.0,-1.8369701987210297e-16,150994.98,2415.63,5962.77,4627.08,22291.01,53124.46,84776.91056147128,28865.305000000004,59845.84793480151,21026.135833333334,41702.90302634482,0.024477359722453462,0.1768901569186876,0.48695603701363854,6.744186046511628,1.4889413753639338,1.8817712468948213,9286.905188442819
