month,sector,num_new_house_transactions,area_new_house_transactions,price_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,total_price_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,amount_pre_owned_house_transactions,price_pre_owned_house_transactions,amount_new_house_transactions_nearby_sectors,month_num,year,is_december,is_february,new_to_preowned_price_ratio,num_new_house_available_for_sale_lag1,amount_pre_owned_house_transactions_lag1,period_new_house_sell_through_lag1,sector_historical_mean,sector_historical_std,months_since_start
2022-03-01,sector 11,49,4826,15520,7490.46,99,152.87,1604.0,174985.0,42.12,2915.0,10840.46114,11372.01,3,2022,0,0,1.4316734131109112,1599.0,2838.0,38.75,8959.247142857143,5353.402922788813,7
2023-02-01,sector 11,105,8935,12280,10972.25,85,104.5,1484.0,156055.0,33.86,2906.0,9404.530744,15955.53,2,2023,0,1,1.3057536132607703,1604.0,2915.0,42.12,8775.64875,4983.4183023658925,8
2023-05-01,sector 11,62,5565,12952,7208.59,90,116.27,1391.0,144560.0,22.54,4107.0,10689.74492,15266.6,5,2023,0,0,1.2116285371568998,1484.0,2906.0,33.86,9019.715555555556,4718.7146745144255,9
2024-06-01,sector 11,28,2527,14607,3690.76,90,131.81,1240.0,116914.0,41.82,5411.0,10492.53442,9252.16,6,2024,0,0,1.3921326740808537,1391.0,4107.0,22.54,8838.603,4485.560829991793,10
2019-02-01,sector 12,186,18484,19724,36457.26,99,196.01,327.0,39224.0,4.69,0.0,,13828.1,2,2019,0,1,,,,,,,0
2019-08-01,sector 12,20,2421,21151,5120.86,121,256.04,121.0,15873.0,4.45,226.0,17251.9084,42967.156,8,2019,0,0,1.2260092918184053,327.0,0.0,4.69,36457.26,,1
2019-11-01,sector 12,5,650,22100,1437.41,130,287.48,74.0,10094.0,3.94,198.0,15000.0,44171.658,11,2019,0,0,1.4733333333333334,121.0,226.0,4.45,20789.06,22158.180937974128,2
2020-08-01,sector 12,60,6865,29010,19916.59,114,331.94,261.0,30203.0,5.68,3990.0,19312.68151,101259.664,8,2020,0,0,1.5021218045240783,74.0,198.0,3.94,14338.51,19243.733451373202,3
2020-06-01,sector 13,266,24652,45654,112548.52,93,423.11,434.0,44548.0,7.04,63135.0,27325.25427,11538.71833,6,2020,0,0,1.670762129014216,,,,,,0
2021-07-01,sector 13,106,10149,46155,46843.95,96,441.92,868.0,84031.0,5.62,42234.0,29906.52882,31518.77333,7,2021,0,0,1.5433084955394032,434.0,63135.0,7.04,112548.52,,1
2022-10-01,sector 13,23,2314,46033,10652.11,101,463.14,494.0,50770.0,13.8,28274.0,25636.05041,22849.225,10,2022,0,0,1.7956354143399424,868.0,42234.0,5.62,79696.235,46460.1470019462,2
2023-02-01,sector 13,37,3637,44992,16362.37,98,442.23,366.0,37731.0,11.99,53163.0,35425.46811,24704.40667,2,2023,0,1,1.270046731924469,494.0,28274.0,13.8,56681.52666666667,51655.619527079856,3
2024-02-01,sector 13,3,299,42825,1282.14,100,427.38,133.0,14755.0,9.11,13055.0,23796.93766,21584.315,2,2024,0,1,1.7996013021450257,366.0,53163.0,11.99,46601.7375,46746.949466199665,4
2019-01-01,sector 14,8,1121,68195,7647.95,140,955.99,42.0,4891.0,6.44,8262.3,32186.59914,18299.75667,1,2019,0,0,2.118738910668274,,,,,,0
2019-02-01,sector 14,1,79,64665,510.85,79,510.85,41.0,4812.0,6.61,8355.0,38752.31911,10824.81667,2,2019,0,1,1.6686743267272812,42.0,8262.3,6.44,7647.95,,1
2019-11-01,sector 14,5,901,88289,7951.83,180,1590.37,93.0,22837.0,25.99,12066.0,34366.27741,11056.5,11,2019,0,0,2.569059166539504,41.0,8355.0,6.61,4079.4,5046.691808006508,2
2019-12-01,sector 14,2,185,25251,467.88,93,233.94,89.0,21792.0,28.67,24162.0,38752.20529,14457.70111,12,2019,1,0,0.6516016265664245,93.0,12066.0,25.99,5370.21,4211.07117854828,3
2020-04-01,sector 14,2,287,57463,1647.7,143,823.85,73.0,20420.0,38.49,14717.0,35208.13397,18664.41111,4,2020,0,0,1.632094448656746,89.0,24162.0,28.67,4144.6275,4222.592825633519,4
2021-09-01,sector 14,2,480,82805,3974.64,240,1987.32,43.0,11618.0,24.74,17586.0,44341.9062,32479.71222,9,2021,0,0,1.8674208462422845,73.0,14717.0,38.49,3645.2419999999997,3823.5647001678944,5
2021-10-01,sector 14,4,1190,101201,12042.93,298,3010.73,32.0,8223.0,14.78,14674.0,40524.71693,38465.58889,10,2021,0,0,2.4972660555484847,43.0,17586.0,24.74,3700.1416666666664,3422.5431266087307,6
2022-11-01,sector 14,1,82,73707,603.59,82,603.59,243.0,26263.0,32.7,6893.0,31161.84448,5949.607778,11,2022,0,0,2.3652964460209,32.0,14674.0,14.78,4891.9685714285715,4438.993220049747,7
2023-11-01,sector 14,2,151,72605,1096.77,76,548.39,599.0,56510.0,40.02,18042.0,35459.90566,18791.60667,11,2023,0,0,2.047523777873469,243.0,6893.0,32.7,4355.92125,4380.466083670084,8
2024-05-01,sector 14,12,1709,92502,15804.29,142,1317.02,811.0,76506.0,74.56,19173.0,38858.93798,34040.03667,5,2024,0,0,2.3804562041198634,599.0,18042.0,40.02,3993.793333333333,4239.121651200281,9
2019-04-01,sector 15,25,3022,54432,16446.57,121,657.86,221.0,27289.0,9.12,23514.7,38142.25466,10709.081,4,2019,0,0,1.42707872109834,,,,,,0
2019-06-01,sector 15,14,1647,48455,7980.08,118,570.01,201.0,24667.0,12.06,22516.6,46046.21677,15454.817,6,2019,0,0,1.0523122940160714,221.0,23514.7,9.12,16446.57,,1
2020-06-01,sector 15,6,725,54347,3942.34,121,657.06,25.0,3657.0,8.32,45967.0,40524.55259,24216.288,6,2020,0,0,1.3410882175516203,201.0,22516.6,12.06,12213.325,5986.712491848093,2
2022-11-01,sector 15,7,1476,138327,20419.74,211,2917.11,272.0,55591.0,47.33,28520.0,50451.08792,7828.336,11,2022,0,0,2.741804105777547,25.0,45967.0,8.32,9456.33,6381.491010735657,3
2023-01-01,sector 15,19,3026,99867,30220.76,159,1590.57,636.0,101008.0,46.33,40707.0,46174.00181,10104.332,1,2023,0,0,2.1628404748399257,272.0,28520.0,47.33,12197.1825,7562.938674026894,4
2023-04-01,sector 15,27,3745,90661,33956.58,139,1257.65,648.0,99962.0,31.25,55191.0,47850.70227,30124.616,4,2023,0,0,1.894663938022074,636.0,40707.0,46.33,15801.898000000001,10385.971318081905,5
2019-03-01,sector 16,3,454,17640,800.19,151,266.73,73.0,12150.0,17.88,1542.0,41788.61789,24484.434,3,2019,0,0,0.4221245135800781,,,,,,0
2019-12-01,sector 16,7,880,48876,4301.71,126,614.53,216.0,30841.0,39.67,3644.0,32021.08963,20480.694,12,2019,1,0,1.526369045049889,73.0,1542.0,17.88,800.19,,1
2020-04-01,sector 16,6,733,60258,4418.27,122,736.38,191.0,27351.0,28.77,4201.0,37442.06774,10893.103,4,2020,0,0,1.6093662459679103,216.0,3644.0,39.67,2550.95,2475.94853646032,2
2020-12-01,sector 16,20,2641,80315,21212.83,132,1060.64,297.0,40425.0,16.96,8837.0,34411.99377,39287.133,12,2020,1,0,2.3339246350212273,191.0,4201.0,28.77,3173.390000000001,2056.077634331934,3
2021-05-01,sector 16,75,10002,87261,87281.33,133,1163.75,289.0,38708.0,9.43,6452.0,36700.79636,44247.308,5,2021,0,0,2.377632331027707,297.0,8837.0,16.96,7683.250000000001,9174.620012331121,4
2021-07-01,sector 16,20,2538,73721,18710.38,127,935.52,252.0,33552.0,8.01,4571.0,38028.28619,17216.17,7,2021,0,0,1.9385832859169403,289.0,6452.0,9.43,23602.866,36473.29306787749,5
2022-04-01,sector 16,19,2820,63392,17876.38,148,940.86,113.0,15276.0,5.71,3268.0,37955.86527,32531.163,4,2022,0,0,1.6701503061268506,252.0,4571.0,8.01,22787.451666666664,32683.79245103384,6
2022-10-01,sector 16,40,5132,84817,43526.94,128,1088.17,475.0,56196.0,8.67,1246.0,33494.62366,23818.972,10,2022,0,0,2.532257142548232,113.0,3268.0,5.71,22085.87,29893.769005099264,7
2023-07-01,sector 16,38,4499,62470,28106.78,118,739.65,372.0,46167.0,10.86,6151.0,51602.34899,40429.853,7,2023,0,0,1.2106038043366212,475.0,1246.0,8.67,24766.00375,28695.642026977814,8
2023-09-01,sector 16,78,9609,68047,65384.66,123,838.26,583.0,76446.0,13.55,6310.0,47622.64151,55177.404,9,2023,0,0,1.428879160046408,372.0,6151.0,10.86,25137.20111111111,26865.404794102047,9
2023-10-01,sector 16,44,5094,66460,33853.2,116,769.39,556.0,73255.0,12.54,12981.0,54177.79633,50971.33,10,2023,0,0,1.2267017948679273,583.0,6310.0,13.55,29161.947000000004,28346.804543250473,10
2024-04-01,sector 16,127,21174,83186,176137.43,167,1386.91,704.0,118440.0,18.06,6981.0,36626.44281,36858.098,4,2024,0,0,2.2712006304168852,556.0,12981.0,12.54,29588.424545454545,26929.313193924336,11
2024-05-01,sector 16,59,8098,77440,62713.45,137,1062.94,709.0,118011.0,15.89,3979.0,37751.42315,50166.493,5,2024,0,0,2.051313395320303,704.0,6981.0,18.06,41800.84166666667,49487.16317240201,12
2019-01-01,sector 17,2,617,51085,3150.91,308,1575.45,84.0,22092.0,37.04,1553.2,28762.96296,9207.575714,1,2019,0,0,1.77606876145002,,,,,,0
2019-02-01,sector 17,1,182,45544,827.8,182,827.8,83.0,21910.0,36.74,32.0,1015.873016,5561.89,2,2019,0,1,44.832374994395956,84.0,1553.2,37.04,3150.91,,1
2019-10-01,sector 17,1,246,44914,1105.42,246,1105.42,98.0,25230.0,69.57,3663.0,45166.46116,12870.91286,10,2019,0,0,0.9944104285897966,83.0,32.0,36.74,1989.355,1642.6868344422803,2
2020-02-01,sector 17,1,310,51290,1590.04,310,1590.04,95.0,24469.0,72.04,3164.0,54740.48443,3551.035714,2,2020,0,1,0.9369664980876751,98.0,3663.0,69.57,1694.71,1268.722604078606,3
2020-08-01,sector 17,1,260,51363,1334.36,260,1334.36,93.0,23949.0,92.19,4216.0,45480.04315,23577.41,8,2020,0,0,1.1293524905109946,95.0,3164.0,72.04,1668.5425,1037.2288318519688,4
2020-11-01,sector 17,1,413,47727,1971.02,413,1971.02,59.0,14544.0,28.07,5141.0,32435.33123,45780.70714,11,2020,0,0,1.4714509823120434,93.0,4216.0,92.19,1601.706,910.6142574548236,5
2021-03-01,sector 17,2,525,52046,2731.92,262,1365.96,54.0,13064.0,19.85,2961.0,42913.04348,37089.97714,3,2021,0,0,1.2128247213287608,59.0,5141.0,28.07,1663.2583333333332,828.3156397996277,6
2021-04-01,sector 17,5,1278,49119,6275.97,256,1255.19,52.0,12545.0,18.29,2108.0,35789.47368,34466.64143,4,2021,0,0,1.3724426472202873,54.0,2961.0,19.85,1815.9242857142856,857.2653714351843,7
2021-11-01,sector 17,127,12902,42878,55320.38,102,435.59,886.0,90047.0,21.38,643.0,31990.04975,42909.04857,11,2021,0,0,1.3403542768794852,52.0,2108.0,18.29,2373.4300000000003,1765.3381021452278,8
2021-12-01,sector 17,166,15564,42826,66654.72,94,401.53,723.0,74653.0,11.04,620.0,28440.36697,132667.2714,12,2021,1,0,1.5058174194859906,886.0,643.0,21.38,8256.424444444445,17726.067781329923,9
2022-05-01,sector 17,60,5802,41871,24295.64,97,404.93,360.0,40408.0,4.8,1931.0,34730.21583,52709.08429,5,2022,0,0,1.2056072500370638,723.0,620.0,11.04,14096.254,24906.564648526433,10
2022-09-01,sector 17,47,4654,39027,18163.3,99,386.45,199.0,24556.0,5.96,2023.0,36319.56912,53635.0,9,2022,0,0,1.0745446861182366,360.0,1931.0,4.8,15023.47090909091,23827.72144989212,11
2023-10-01,sector 17,8,908,36135,3280.97,114,410.12,58.0,9934.0,11.08,3614.0,36839.95923,63683.65857,10,2023,0,0,0.980864277682861,199.0,2023.0,5.96,15285.123333333335,22736.91447397075,12
2023-11-01,sector 17,10,1206,42668,5144.1,121,514.41,48.0,8729.0,10.54,4645.0,31684.85675,44243.93857,11,2023,0,0,1.3466369861369185,58.0,3614.0,11.08,14361.726923076923,22022.06314683314,13
2024-02-01,sector 17,1,96,40576,391.43,96,391.43,41.0,8120.0,11.36,320.0,10847.45763,14610.73429,2,2024,0,1,3.740599999006403,48.0,4645.0,10.54,13703.325,21301.048955243692,14
2024-06-01,sector 17,1,98,39703,388.65,98,388.65,65.0,20203.0,72.17,6730.5,38284.98294,74634.7,6,2024,0,0,1.037038466550248,41.0,320.0,11.36,12815.865333333333,20811.98779603026,15
2019-03-01,sector 18,8,999,30378,3033.72,125,379.21,54.0,11596.0,16.2,2253.8,16996.98341,23467.70364,3,2019,0,0,1.7872583191513511,,,,,,0
2019-08-01,sector 18,18,3142,47600,14957.28,175,830.96,35.0,8314.0,4.55,1989.0,17983.72514,22061.70818,8,2019,0,0,2.6468376061935297,54.0,2253.8,16.2,3033.72,,1
2019-12-01,sector 18,7,689,36876,2541.97,98,363.14,37.0,8380.0,5.51,3328.0,22920.11019,34539.15,12,2019,1,0,1.6088927886607163,35.0,1989.0,4.55,8995.5,8431.230131884671,2
2022-02-01,sector 18,50,5287,29278,15478.07,106,309.56,2114.0,198322.0,28.39,3665.0,20601.4615,19648.50818,2,2022,0,1,1.42116130935662,37.0,3328.0,5.51,6844.323333333334,7030.327440598578,3
2023-07-01,sector 18,160,14585,22640,33021.57,91,206.38,2221.0,199675.0,11.53,6431.0,21726.35135,30898.77636,7,2023,0,0,1.042052557987377,2114.0,3665.0,28.39,9002.76,7182.320747785264,4
2023-08-01,sector 18,144,12768,23408,29888.35,89,207.56,2157.0,194297.0,11.59,3065.0,25435.68465,29207.35636,8,2023,0,0,0.9202818922352067,2221.0,6431.0,11.53,13806.522,12412.491500753182,5
2023-12-01,sector 18,101,9234,21681,20020.13,91,198.22,1813.0,162923.0,13.47,3201.3,17755.40765,37544.41273,12,2023,1,0,1.221092775079146,2157.0,3065.0,11.59,16486.826666666664,12898.06787243526,6
2024-05-01,sector 18,116,10588,22610,23939.38,91,206.37,2522.0,241062.0,25.76,3162.8,22463.06818,38978.49545,5,2024,0,0,1.006541039666648,1813.0,3201.3,13.47,16991.584285714285,11849.764729571438,7
2024-07-01,sector 18,108,10020,24233,24281.04,93,224.82,2315.0,222873.0,20.53,4275.0,20692.15876,34031.28909,7,2024,0,0,1.1711199532667804,2522.0,3162.8,25.76,17860.05875,11242.39061386912,8
2023-01-01,sector 19,1,107,29012,309.7,107,309.7,359.0,32914.0,79.56,,,,1,2023,0,0,,,,,,,0
2023-10-01,sector 19,7,627,28398,1781.53,90,254.5,302.0,27620.0,37.22,,,,10,2023,0,0,,359.0,,79.56,309.7,,1
2024-02-01,sector 19,2,167,24363,408.01,84,204.0,292.0,26663.0,71.73,,,,2,2024,0,1,,302.0,,37.22,1045.615,1040.7409737537962,2
2024-03-01,sector 19,2,186,22410,416.04,93,208.02,291.0,26584.0,91.04,,,,3,2024,0,0,,292.0,,71.73,833.0799999999999,822.8513024234694,3
2019-02-01,sector 2,64,7304,18433,12868.22,113,207.55,1451.0,170499.0,12.38,1220.0,27232.14286,7356.6725,2,2019,0,1,0.6768839343552122,,,,,,0
2019-09-01,sector 2,49,6152,19274,11212.98,124,238.57,1605.0,182357.0,20.6,181.0,10710.05917,19310.5825,9,2019,0,0,1.7996165748540864,1451.0,1220.0,12.38,12868.22,,1
2020-05-01,sector 2,38,4464,17037,7604.87,117,200.13,1448.0,165086.0,39.95,1359.0,13079.8845,39365.205,5,2020,0,0,1.3025344375173955,1605.0,181.0,20.6,12040.599999999999,1170.43142849122,2
2020-06-01,sector 2,33,4117,15869,6263.92,123,195.75,1477.0,168830.0,50.2,3358.0,16541.87192,63162.7925,6,2020,0,0,0.9593231090620122,1448.0,1359.0,39.95,10562.023333333333,2691.3791524111443,3
2020-08-01,sector 2,52,5760,15880,8606.37,108,172.13,1416.0,161912.0,38.48,6945.0,20390.48738,35938.3375,8,2020,0,0,0.7787945282551653,1477.0,3358.0,50.2,9487.4975,3073.6684207460735,4
2021-07-01,sector 2,59,7319,17404,11823.82,121,211.14,1490.0,169254.0,18.69,1546.0,14301.57262,16886.9575,7,2021,0,0,1.2169291071991213,1416.0,6945.0,38.48,9311.272,2690.883740478209,5
2021-11-01,sector 2,51,5793,19458,11271.33,114,221.01,1307.0,149226.0,20.82,1379.0,17173.10087,19463.725,11,2021,0,0,1.1330510516007934,1490.0,1546.0,18.69,9730.03,2616.263331394605,6
2022-04-01,sector 2,37,4179,15485,6471.23,113,174.9,1312.0,149716.0,28.03,1497.0,16045.01608,13318.0375,4,2022,0,0,0.9650971942185801,1307.0,1379.0,20.82,9950.215714285714,2458.3328546181933,7
2023-01-01,sector 2,76,8090,14244,11523.2,106,151.62,967.0,112785.0,13.85,1558.0,13606.9869,17091.7625,1,2023,0,0,1.0468151475915657,1312.0,1497.0,28.03,9515.3425,2587.0785079685647,8
2023-06-01,sector 2,40,4353,14411,6273.6,109,156.84,898.0,105800.0,9.19,1480.0,15562.56572,9729.425,6,2023,0,0,0.9260041216391406,967.0,1558.0,13.85,9738.437777777777,2510.8358831860046,9
2019-01-01,sector 20,52,5355,26683,14288.21,103,274.77,789.0,82975.0,8.65,1068.5,21200.39683,18837.01714,1,2019,0,0,1.2586085163387952,,,,,,0
2019-04-01,sector 20,48,5115,33155,16957.9,107,353.29,423.0,49352.0,6.5,1569.5,19352.65105,46620.51429,4,2019,0,0,1.7132019749821303,789.0,1068.5,8.65,14288.21,,1
2019-07-01,sector 20,29,3248,37666,12235.37,112,421.91,515.0,61101.0,13.19,4015.05,16680.72289,38424.16143,7,2019,0,0,2.2580556159577805,423.0,1569.5,6.5,15623.055,1887.7559026659158,2
2019-09-01,sector 20,69,6917,33314,23043.87,100,333.97,512.0,61121.0,10.04,3714.0,16813.03757,33080.19571,9,2019,0,0,1.9814385033816349,515.0,4015.05,13.19,14493.826666666668,2367.9698183113182,3
2020-02-01,sector 20,22,2107,25619,5398.16,96,245.37,844.0,90155.0,6.05,1151.0,23780.99174,4300.01,2,2020,0,1,1.0772889659142533,512.0,3714.0,10.04,16631.3375,4691.907674293225,4
2020-05-01,sector 20,153,16625,29511,49062.73,109,320.67,765.0,88317.0,4.69,8324.0,21893.74014,58775.03286,5,2020,0,0,1.347919533679091,844.0,1151.0,6.05,14384.702,6461.2192013094555,5
2020-07-01,sector 20,159,17500,29835,52210.49,110,328.37,933.0,109065.0,6.54,17672.0,29911.98375,53652.46143,7,2020,0,0,0.9974263241567856,765.0,8324.0,4.69,20164.373333333333,15291.35334697445,6
2021-06-01,sector 20,108,11816,44071,52072.1,109,482.15,482.0,58627.0,3.16,9166.0,28510.10886,52930.80571,6,2021,0,0,1.5458025858972466,933.0,17672.0,6.54,24742.390000000003,18481.402242623077,7
2022-05-01,sector 20,149,17229,38802,66853.09,116,448.68,419.0,52163.0,8.5,7839.0,29637.05104,71790.72714,5,2022,0,0,1.3092395713605385,482.0,9166.0,3.16,28158.603750000002,19650.235515565666,8
2022-09-01,sector 20,13,1624,48693,7905.99,125,608.15,451.0,56673.0,11.45,10626.0,28930.02995,57951.97286,9,2022,0,0,1.6831299547271985,419.0,7839.0,8.5,32457.99111111111,22455.018848087973,9
2023-02-01,sector 20,11,1453,36348,5282.38,132,480.22,507.0,62088.0,28.16,7649.0,30102.32192,50639.48286,2,2023,0,1,1.2074816054588258,451.0,10626.0,11.45,30002.790999999997,22549.559380883427,10
2023-05-01,sector 20,20,2428,41205,10005.9,121,500.3,574.0,78055.0,25.02,5014.0,24687.34613,53025.02571,5,2023,0,0,1.6690736939896422,507.0,7649.0,28.16,27755.480909090908,22653.670663636593,11
2023-10-01,sector 20,15,2032,47091,9567.37,135,637.82,637.0,88394.0,38.08,9900.0,27731.09244,36476.55,10,2023,0,0,1.6981299998147494,574.0,5014.0,25.02,26276.349166666667,22198.85664393161,12
2024-04-01,sector 20,5,607,47322,2872.14,121,574.43,569.0,70766.0,50.89,7624.0,20644.4625,27632.08286,4,2024,0,0,2.292236961848728,637.0,9900.0,38.08,24991.043076923077,21753.15193903303,13
2019-07-01,sector 21,4,664,48770,3237.21,166,809.3,206.0,23614.0,14.48,44015.7,40918.1928,14882.68,7,2019,0,0,1.1918903710723021,,,,,,0
2019-10-01,sector 21,4,666,48454,3227.03,167,806.76,206.0,23832.0,24.58,36001.0,40050.06119,7616.637778,10,2019,0,0,1.2098358544355572,206.0,44015.7,14.48,3237.21,,1
2020-09-01,sector 21,6,726,50684,3681.4,121,613.57,207.0,20410.0,14.93,31519.0,39826.88906,16308.45,9,2020,0,0,1.272607557262219,206.0,36001.0,24.58,3232.12,7.198347032478777,2
2022-05-01,sector 21,2,291,54739,1594.21,146,797.11,78.0,10587.0,15.28,23212.0,36393.85387,22734.08333,5,2022,0,0,1.5040726435713416,207.0,31519.0,14.93,3381.8799999999997,259.4418642008264,3
2022-08-01,sector 21,25,3335,60098,20042.5,133,801.7,299.0,47374.0,24.1,27895.0,38433.45274,39083.08778,8,2022,0,0,1.5636898513011401,78.0,23212.0,15.28,2934.9625,918.5937047964496,4
2022-09-01,sector 21,12,1877,84927,15944.94,156,1328.74,344.0,53611.0,23.86,23402.0,39570.51065,36169.79,9,2022,0,0,2.146219460021045,299.0,27895.0,24.1,6356.469999999999,7691.971701628263,5
2023-03-01,sector 21,72,10460,80206,83894.9,145,1165.21,530.0,74277.0,16.67,36586.0,44191.32746,21565.14778,3,2023,0,0,1.8149715025555377,344.0,23402.0,23.86,7954.548333333333,7915.571304949294,6
2023-09-01,sector 21,42,6126,86827,53192.05,146,1266.48,765.0,97086.0,20.3,27416.0,45136.64801,21966.44556,9,2023,0,0,1.9236474977221067,530.0,36586.0,16.67,18803.170000000002,29598.33951482864,7
2024-04-01,sector 21,31,4375,90198,39466.06,141,1273.1,612.0,81348.0,24.9,20594.0,39833.65571,30574.09444,4,2024,0,0,2.2643666114068544,765.0,27416.0,20.3,23101.78,29978.899475674076,8
