month,sector,num_new_house_transactions,amount_new_house_transactions,area_per_unit_new_house_transactions,num_new_house_available_for_sale,period_new_house_sell_through,amount_pre_owned_house_transactions,is_december,is_february,year,num_new_house_available_for_sale_lag1,amount_pre_owned_house_transactions_lag1,period_new_house_sell_through_lag1,sector_historical_mean,sector_historical_std,month_historical_mean,sector_month_avg,months_since_start
2020-03-01,sector 1,5,7902.03,189,158.0,7.21,31072.0,0,0,2020,162.0,4061.0,6.13,15684.898571428572,7855.735611551461,23283.48,23283.48,14
2020-04-01,sector 1,7,8227.42,124,154.0,8.6,69855.0,0,0,2020,158.0,31072.0,7.21,15166.040666666668,7832.160832572203,26626.68,26626.68,15
2020-05-01,sector 1,8,6684.47,115,145.0,10.85,66631.0,0,0,2020,154.0,69855.0,8.6,14732.376875,7762.87676277527,8649.42,8649.42,16
2020-06-01,sector 1,32,19116.77,103,133.0,11.62,98516.0,0,0,2020,145.0,66631.0,10.85,14258.970588235294,7765.680547565094,20116.16,20116.16,17
2020-07-01,sector 1,31,9567.28,91,128.0,9.73,111036.0,0,0,2020,133.0,98516.0,11.62,14528.848333333335,7620.3285132321835,14325.33,14325.33,18
2020-08-01,sector 1,33,10356.47,90,123.0,7.22,119613.0,0,0,2020,128.0,111036.0,9.73,14267.713157894736,7492.594244956559,29794.76,29794.76,19
2020-09-01,sector 1,35,16873.79,96,118.0,5.66,121632.0,0,0,2020,123.0,119613.0,7.22,14072.151000000002,7345.010355193805,13982.09,13982.09,20
2020-10-01,sector 1,30,17459.4,103,113.0,4.61,77412.0,0,0,2020,118.0,121632.0,5.66,14205.56238095238,7185.0879458729705,11949.09,11949.09,21
2020-11-01,sector 1,14,16218.94,143,106.0,3.96,112309.0,0,0,2020,113.0,77412.0,4.61,14353.464090909092,7046.16068002025,15092.94,15092.94,22
2020-12-01,sector 1,52,32730.56,104,97.0,3.17,125453.0,1,0,2020,106.0,112309.0,3.96,14434.571739130435,6895.138876924059,22931.65,22931.65,23
2021-01-01,sector 1,230,139229.64,101,101.0,1.65,159699.0,0,0,2021,97.0,125453.0,3.17,15196.904583333335,7708.663214002339,10598.05,10598.05,24
2021-02-01,sector 1,47,39535.28,119,216.0,2.89,91679.0,0,1,2021,101.0,159699.0,1.65,20158.214,25928.985480637144,5820.44,5820.44,25
2021-03-01,sector 1,89,64290.01,106,166.0,1.86,91010.0,0,0,2021,216.0,91679.0,2.89,20903.48576923077,25687.759279337883,15592.755,15592.755,26
2021-04-01,sector 1,22,12449.91,108,141.0,1.5,84581.0,0,0,2021,166.0,91010.0,1.86,22510.394074074076,26536.764583492793,17427.05,17427.05,27
2021-05-01,sector 1,188,121427.16,91,406.0,3.34,80664.0,0,0,2021,141.0,84581.0,1.5,22151.091071428575,26110.020296048308,7666.945,7666.945,28
2021-06-01,sector 1,313,225333.13,101,676.0,4.32,60207.0,0,0,2021,406.0,80664.0,3.34,25574.40379310345,31579.084482121394,19616.465,19616.465,29
2021-07-01,sector 1,154,99181.39,96,361.0,2.43,60362.0,0,0,2021,676.0,60207.0,4.32,32233.028000000002,47884.95932399272,11946.305,11946.305,30
2021-08-01,sector 1,77,50057.77,93,152.0,1.08,57475.0,0,0,2021,361.0,60362.0,2.43,34392.65258064516,48591.360823582145,20075.614999999998,20075.614999999998,31
2021-09-01,sector 1,36,22291.01,100,146.0,1.17,37268.0,0,0,2021,152.0,57475.0,1.08,34882.1875,47881.35123622065,15427.94,15427.94,32
2021-10-01,sector 1,33,17255.42,99,135.0,1.06,26167.0,0,0,2021,146.0,37268.0,1.17,34500.636666666665,47178.20976725012,14704.245,14704.245,33
2021-11-01,sector 1,23,11267.58,97,153.0,1.59,49511.0,0,0,2021,135.0,26167.0,1.06,33993.4244117647,46551.93312771963,15655.94,15655.94,34
2021-12-01,sector 1,36,24490.89,102,125.0,2.35,51012.0,1,0,2021,153.0,49511.0,1.59,33344.114571428574,46022.82990424576,27831.105000000003,27831.105000000003,35
2022-01-01,sector 1,5,2116.24,91,118.0,3.79,53876.0,0,0,2022,125.0,51012.0,2.35,33098.191666666666,45384.58896272538,53475.24666666667,53475.24666666667,36
2022-02-01,sector 1,2,1700.66,111,116.0,5.66,24314.0,0,1,2022,118.0,53876.0,3.79,32260.841621621625,45038.73969105057,17058.719999999998,17058.719999999998,37
2022-03-01,sector 1,9,4627.08,96,113.0,6.92,53396.0,0,0,2022,116.0,24314.0,5.66,31456.626315789475,44701.689417688554,31825.173333333336,31825.173333333336,38
2022-04-01,sector 1,7,3514.44,88,108.0,8.83,55382.0,0,0,2022,113.0,53396.0,6.92,30768.689230769232,44318.312086973725,15768.003333333334,15768.003333333334,39
2022-05-01,sector 1,8,5676.93,107,104.0,10.16,48497.0,0,0,2022,108.0,55382.0,8.83,30087.333000000002,43958.17071322371,45587.01666666666,45587.01666666666,40
2022-06-01,sector 1,8,5962.77,110,99.0,16.46,62050.0,0,0,2022,104.0,48497.0,10.16,29491.95731707317,43572.3090218804,88188.68666666666,88188.68666666666,41
2022-07-01,sector 1,3,2415.63,96,533.0,78.98,42102.0,0,0,2022,99.0,62050.0,16.46,28931.73857142857,43190.52676843382,41024.666666666664,41024.666666666664,42
2022-08-01,sector 1,214,150994.98,90,351.0,8.78,49953.0,0,0,2022,533.0,42102.0,78.98,28315.084883720927,42864.41482872096,30069.666666666668,30069.666666666668,43
2022-09-01,sector 1,42,32537.37,97,290.0,6.18,40927.0,0,0,2022,351.0,49953.0,8.78,31103.26431818182,46224.26161678253,17715.63,17715.63,44
2022-10-01,sector 1,23,18715.0,100,584.0,11.72,40477.0,0,0,2022,290.0,40927.0,6.18,31135.133333333335,45696.4670710915,15554.636666666667,15554.636666666667,45
2022-11-01,sector 1,16,11387.69,90,621.0,12.76,37274.0,0,0,2022,584.0,40477.0,11.72,30865.130434782608,45222.968294713246,14193.153333333334,14193.153333333334,46
2022-12-01,sector 1,42,32888.44,96,399.0,7.48,35422.0,1,0,2022,621.0,37274.0,12.76,30450.71680851064,44818.852237665575,26717.7,26717.7,47
2023-01-01,sector 1,25,18283.33,91,394.0,6.92,40735.0,0,0,2023,399.0,35422.0,7.48,30501.502708333337,44340.88848903741,40635.495,40635.495,48
2023-02-01,sector 1,31,22453.37,91,311.0,10.22,56375.0,0,1,2023,394.0,40735.0,6.92,30252.15224489796,43911.27739572676,13219.205,13219.205,49
2023-03-01,sector 1,48,35282.69,92,322.0,10.35,79102.2,0,0,2023,311.0,56375.0,10.22,30096.176600000003,43474.88558283463,25025.649999999998,25025.649999999998,50
2023-04-01,sector 1,36,26226.17,92,293.0,8.84,61771.0,0,0,2023,322.0,79102.2,10.35,30197.872941176473,43044.06825972649,12704.6125,12704.6125,51
2023-05-01,sector 1,34,26991.68,98,310.0,8.55,54087.0,0,0,2023,293.0,61771.0,8.84,30121.494038461537,42623.53710613469,35609.495,35609.495,52
2023-06-01,sector 1,19,15355.75,102,345.0,9.95,69686.0,0,0,2023,310.0,54087.0,8.55,30062.44094339623,42213.89504153667,67632.2075,67632.2075,53
2023-07-01,sector 1,8,5570.49,89,337.0,10.63,51206.5,0,0,2023,345.0,69686.0,9.95,29790.094814814816,41861.62155677296,31372.4075,31372.4075,54
2023-08-01,sector 1,16,13424.87,101,682.0,26.82,52387.3,0,0,2023,337.0,51206.5,10.63,29349.738363636367,41600.58716741333,60300.995,60300.995,55
2023-09-01,sector 1,7,6073.04,106,526.0,25.6,55077.0,0,0,2023,682.0,52387.3,26.82,29065.365714285716,41275.55976819123,21421.065,21421.065,56
2023-10-01,sector 1,17,13362.85,96,509.0,28.93,49646.0,0,0,2023,526.0,55077.0,25.6,28661.991578947367,41018.57667395769,16344.7275,16344.7275,57
2023-11-01,sector 1,21,18562.89,101,489.0,31.54,54261.8,0,0,2023,509.0,49646.0,28.93,28398.213275862072,40706.771617254206,13491.7875,13491.7875,58
2023-12-01,sector 1,27,21865.82,95,462.0,27.77,59199.7,1,0,2023,489.0,54261.8,31.54,28231.51288135593,40374.63474696113,28260.385000000002,28260.385000000002,59
2024-01-01,sector 1,12,10025.79,107,452.0,25.53,49434.0,0,0,2024,462.0,59199.7,27.77,28125.418,40039.44924898464,36165.062000000005,36165.062000000005,60
2024-02-01,sector 1,8,6276.4,101,450.0,27.71,24827.0,0,1,2024,452.0,49434.0,25.53,27828.70278688525,39771.95795455177,15066.038,15066.038,61
2024-03-01,sector 1,6,4605.35,91,443.0,27.9,51185.9,0,0,2024,450.0,24827.0,27.71,27481.085,39539.465274114766,27077.058,27077.058,62
2024-04-01,sector 1,3,3622.08,133,446.0,33.37,45222.5,0,0,2024,443.0,51185.9,27.9,27117.978095238097,39325.05584730337,15408.923999999999,15408.923999999999,63
2024-05-01,sector 1,5,4229.4,105,476.0,46.83,43325.0,0,0,2024,446.0,45222.5,33.37,26750.8546875,39122.10279582436,33885.932,33885.932,64
2024-06-01,sector 1,26,19445.53,99,452.0,44.52,53489.0,0,0,2024,476.0,43325.0,46.83,26404.37076923077,38915.64695974244,57176.916000000005,57176.916000000005,65
2024-07-01,sector 1,13,9295.32,97,445.0,44.04,46709.0,0,0,2024,452.0,53489.0,44.52,26298.93378787879,38624.634776782026,26212.023999999998,26212.023999999998,66
2019-01-01,sector 10,40,11043.29,91,209.0,1.73,2561.6,0,0,2019,,,,,,31808.516666666674,,0
2019-02-01,sector 10,38,9916.07,87,176.0,1.66,2742.0,0,1,2019,209.0,2561.6,1.73,11043.29,,13601.098333333333,,1
2019-03-01,sector 10,39,10852.71,90,135.0,1.72,2699.3,0,0,2019,176.0,2742.0,1.66,10479.68,797.0649058891009,23331.773333333334,,2
2019-04-01,sector 10,12,3387.26,98,123.0,1.74,3128.0,0,0,2019,135.0,2699.3,1.72,10604.023333333333,603.3572952516062,13444.449999999999,,3
2019-05-01,sector 10,12,3140.16,91,115.0,2.76,4444.0,0,0,2019,123.0,3128.0,1.74,8799.8325,3641.8555164675327,28943.176666666666,,4
2019-06-01,sector 10,16,4686.62,103,110.0,4.35,6993.3,0,0,2019,115.0,4444.0,2.76,7667.897999999999,4043.972337142033,50888.35166666666,,5
2019-07-01,sector 10,7,1764.9,89,112.0,5.62,7092.9,0,0,2019,110.0,6993.3,4.35,7171.018333333333,3816.321033369267,23392.573333333334,,6
2019-08-01,sector 10,8,2185.57,98,107.0,6.89,4794.0,0,0,2019,112.0,7092.9,5.62,6398.715714285715,4038.821759601254,50925.770000000004,,7
2019-09-01,sector 10,8,2149.53,94,65.0,5.83,5151.0,0,0,2019,107.0,4794.0,6.89,5872.0725,4024.997949308262,18351.46,,8
2019-10-01,sector 10,9,2773.38,110,63.0,5.69,5996.0,0,0,2019,65.0,5151.0,5.83,5458.456666666667,3964.2445621707047,15748.351999999999,,9
2019-11-01,sector 10,13,2616.02,90,56.0,5.01,4179.0,0,0,2019,63.0,5996.0,5.69,5189.949,3832.761589606841,14506.008000000002,,10
2019-12-01,sector 10,7,1848.88,94,56.0,6.01,2850.0,1,0,2019,56.0,4179.0,5.01,4955.955454545455,3717.9749911675403,26981.472,,11
2020-01-01,sector 10,4,794.18,86,55.0,6.26,2233.0,0,0,2020,56.0,2850.0,6.01,4697.0325,3656.6602381883567,28842.055714285718,11043.29,12
2020-02-01,sector 10,1,138.21,82,54.0,7.23,654.0,0,1,2020,55.0,2233.0,6.26,4396.813076923077,3664.507135844657,13074.665714285713,9916.07,13
2020-03-01,sector 10,5,1156.95,92,53.0,7.62,1743.0,0,0,2020,54.0,654.0,7.23,4092.6271428571426,3700.1418226029964,21549.05,10852.71,14
2020-04-01,sector 10,9,2472.34,98,52.0,7.63,2396.0,0,0,2020,53.0,1743.0,7.62,3896.9153333333334,3645.2248333281696,12007.70857142857,3387.26,15
2020-05-01,sector 10,3,804.92,93,53.0,10.28,7221.0,0,0,2020,52.0,2396.0,7.63,3807.879375,3539.584473234994,25257.03142857143,3140.16,16
2020-06-01,sector 10,3,766.1,90,54.0,12.24,8344.0,0,0,2020,53.0,7221.0,10.28,3631.234705882353,3503.7228583520946,44288.10428571428,4686.62,17
2020-07-01,sector 10,7,1852.42,92,53.0,10.63,1993.0,0,0,2020,54.0,8344.0,12.24,3472.0605555555558,3465.54573743821,20302.905714285713,1764.9,18
2020-08-01,sector 10,7,1833.6,91,64.0,11.44,8834.0,0,0,2020,53.0,1993.0,10.63,3386.8163157894737,3388.340251608301,42802.403333333335,2185.57,19
2020-09-01,sector 10,1,243.45,98,245.0,43.7,7837.0,0,0,2020,64.0,8834.0,11.44,3309.1555,3316.2054311445136,15651.138333333334,2149.53,20
2020-10-01,sector 10,2,535.96,95,62.0,16.56,1720.0,0,0,2020,245.0,7837.0,43.7,3163.1695238095235,3300.7434842175726,13585.856666666667,2773.38,21
2020-11-01,sector 10,2,564.39,101,61.0,16.9,5705.0,0,0,2020,62.0,1720.0,16.56,3043.7509090909093,3269.5320994221047,12524.343333333332,2616.02,22
2020-12-01,sector 10,4,985.53,90,58.0,15.42,6384.0,1,0,2020,61.0,5705.0,16.9,2935.9526086956525,3235.9247853212723,22792.70666666667,1848.88,23
2021-01-01,sector 10,1,191.69,68,56.0,20.39,8676.0,0,0,2021,58.0,6384.0,15.42,2854.685,3189.74065273134,25336.07125,5918.735000000001,24
2021-03-01,sector 10,1,175.51,73,56.0,29.7,6157.0,0,0,2021,56.0,8676.0,20.39,2748.1652000000004,3167.676104049729,19000.0375,6004.83,25
2021-04-01,sector 10,1,230.87,98,56.0,33.12,5776.0,0,0,2021,56.0,6157.0,29.7,2649.216923076923,3144.4180420736293,10815.7875,2929.8,26
2021-05-01,sector 10,3,1618.31,186,51.0,19.67,5788.0,0,0,2021,56.0,5776.0,33.12,2559.6485185185184,3118.283026996037,22200.5175,1972.54,27
2021-06-01,sector 10,1,232.71,80,51.0,25.96,2453.0,0,0,2021,51.0,5788.0,19.67,2526.029285714286,3065.1589655796884,38847.85375,2726.36,28
2021-10-01,sector 10,62,25499.18,88,318.0,14.4,849.0,0,0,2021,51.0,2453.0,25.96,2446.9493103448276,3039.9033336897537,11721.585714285715,1654.67,29
2021-11-01,sector 10,55,22224.72,88,613.0,17.06,1605.0,0,0,2021,318.0,849.0,14.4,3215.3569999999995,5160.9948661101025,10815.778571428571,1590.205,30
2021-12-01,sector 10,137,57633.56,92,559.0,7.09,1942.0,1,0,2021,613.0,1605.0,17.06,3828.562258064516,6115.933868604047,19677.395714285718,1417.205,31
2022-01-01,sector 10,36,14893.84,91,645.0,9.5,2789.0,0,0,2022,559.0,1942.0,7.09,5509.9684375,11254.603558280727,22542.251111111113,4009.7200000000007,32
2022-02-01,sector 10,28,11844.42,93,627.0,10.51,1940.0,0,1,2022,645.0,2789.0,9.5,5794.328181818181,11197.150570931108,11457.60875,5027.139999999999,33
2022-03-01,sector 10,33,13400.02,92,597.0,10.89,2958.0,0,0,2022,627.0,1940.0,10.51,5972.27205882353,11074.903136963861,16908.423333333332,4061.723333333333,34
2022-04-01,sector 10,45,18396.11,92,544.0,10.4,2022.0,0,0,2022,597.0,2958.0,10.89,6184.493428571428,10982.820724028088,9639.685555555556,2030.1566666666668,35
2022-05-01,sector 10,31,13129.32,94,508.0,10.4,3450.0,0,0,2022,544.0,2022.0,10.4,6523.705,11014.4595789217,19913.605555555558,1854.4633333333331,36
2022-06-01,sector 10,63,25426.49,93,454.0,12.27,916.0,0,0,2022,508.0,3450.0,10.4,6702.235135135135,10914.562191223558,34557.28222222222,1895.1433333333334,37
2022-07-01,sector 10,272,92360.47,98,1587.0,21.68,2004.0,0,0,2022,454.0,916.0,12.27,7194.978684210527,11186.342428335998,17996.595,1808.66,38
2022-08-01,sector 10,117,41360.02,98,1377.0,15.94,4043.0,0,0,2022,1587.0,2004.0,21.68,9378.709230769231,17544.792249035097,36949.717142857146,2009.585,39
2022-09-01,sector 10,107,38861.46,100,2005.0,20.03,3588.0,0,0,2022,1377.0,4043.0,15.94,10178.242,18041.536168110008,13450.039999999999,1196.49,40
2022-10-01,sector 10,91,34146.68,100,1896.0,17.58,3570.0,0,0,2022,2005.0,3588.0,20.03,10877.83268292683,18369.162030200237,13443.785,9602.84,41
2022-11-01,sector 10,64,24919.53,99,1884.0,16.83,1922.0,0,0,2022,1896.0,3570.0,17.58,11431.852857142858,18495.610812410796,12241.89625,8468.376666666667,42
2022-12-01,sector 10,112,41489.66,98,1787.0,14.9,3293.0,1,0,2022,1884.0,1922.0,16.83,11745.51976744186,18389.489226822905,24421.916250000002,20155.99,43
2023-01-01,sector 10,53,19229.37,98,1711.0,20.02,2760.0,0,0,2023,1787.0,3293.0,14.9,12421.522954545455,18719.40041623496,21777.410000000003,6730.75,44
2023-02-01,sector 10,69,24380.64,100,1996.0,25.02,5940.0,0,1,2023,1711.0,2760.0,20.02,12572.808444444445,18533.264189315476,11500.587777777777,7299.566666666666,45
2023-03-01,sector 10,269,93886.3,96,2860.0,27.47,6101.0,0,0,2023,1996.0,5940.0,25.02,12829.500434782609,18408.691604627773,16557.583000000002,6396.2975,46
2023-04-01,sector 10,202,77047.86,100,2664.0,21.86,3645.0,0,0,2023,2860.0,6101.0,27.47,14554.113191489363,21709.55002334978,10515.328,6121.645,47
2023-05-01,sector 10,169,63857.54,100,2643.0,19.08,4844.0,0,0,2023,2664.0,3645.0,21.86,15856.066250000002,23294.650252119172,19235.177,4673.1775,48
2023-06-01,sector 10,119,45452.7,103,2508.0,17.84,2382.0,0,0,2023,2643.0,4844.0,19.08,16835.688163265306,24049.095839699952,33644.203,7777.9800000000005,49
2023-07-01,sector 10,80,29218.82,99,2429.0,16.78,4833.0,0,0,2023,2508.0,2382.0,17.84,17408.0284,24144.03514162202,26259.247777777775,31992.596666666668,50
2023-08-01,sector 10,83,29882.57,99,2352.0,16.03,1864.0,0,0,2023,2429.0,4833.0,16.78,17639.612549019606,23958.52533824683,37501.005000000005,15126.396666666666,51
2023-09-01,sector 10,119,43178.01,101,2233.0,17.96,4038.9,0,0,2023,2352.0,1864.0,16.03,17875.054038461538,23783.152022412283,16626.4675,13751.480000000001,52
2023-10-01,sector 10,155,56411.04,100,2267.0,19.37,5073.0,0,0,2023,2233.0,4038.9,17.96,18352.468301886795,23808.415575205814,15744.106666666667,15738.8,53
2023-11-01,sector 10,132,52062.08,102,2134.0,19.15,4705.0,0,0,2023,2267.0,5073.0,19.37,19057.256666666668,24144.74651077038,13650.522222222222,12581.165,54
2023-12-01,sector 10,144,58425.68,104,1933.0,16.7,5258.0,1,0,2023,2134.0,4705.0,19.15,19657.344363636363,24330.61557521395,26318.332222222223,25489.4075,55
2024-01-01,sector 10,42,15810.53,96,1892.0,17.29,5376.0,0,0,2024,1933.0,5258.0,16.7,20349.636071428573,24658.763141305488,21545.770000000004,9230.474,56
2024-02-01,sector 10,36,14655.68,105,2009.0,19.69,675.0,0,1,2024,1892.0,5376.0,17.29,20270.002631578947,24444.99839309184,12788.592999999999,11569.835,57
2024-03-01,sector 10,121,44429.64,100,1896.0,18.59,3391.0,0,0,2024,2009.0,675.0,19.69,20173.20396551724,24240.83192952149,23587.466363636366,23894.298000000003,58
2024-04-01,sector 10,133,52813.59,104,1761.0,17.71,2342.0,0,0,2024,1896.0,3391.0,18.59,20584.329999999998,24237.55435943825,16563.74,20306.888,59
2024-05-01,sector 10,143,54442.73,100,1642.0,16.33,1865.0,0,0,2024,1761.0,2342.0,17.71,21121.484333333334,24388.81290862694,23291.755454545455,16510.05,60
2024-06-01,sector 10,199,77559.46,104,1426.0,13.04,3640.0,0,0,2024,1642.0,1865.0,16.33,21667.734262295082,24558.142300510877,34717.70272727273,15312.923999999999,61
2024-07-01,sector 10,113,42217.66,100,1350.0,11.22,3398.0,0,0,2024,1426.0,3640.0,13.04,22569.21370967742,25369.28598639716,26555.204999999998,31299.152500000004,62
2019-01-01,sector 11,80,10606.75,112,602.0,16.06,0.0,0,0,2019,,,,,,21067.833333333336,,0
2019-02-01,sector 11,7,805.17,95,597.0,17.54,2406.0,0,1,2019,602.0,0.0,16.06,10606.75,,12958.32818181818,,1
2019-03-01,sector 11,50,7085.3,120,657.0,17.24,4056.7,0,0,2019,597.0,2406.0,17.54,5705.96,6930.763684342441,25324.314166666667,,2
2019-04-01,sector 11,28,3805.46,117,621.0,23.47,965.0,0,0,2019,657.0,4056.7,17.24,6165.740000000001,4965.071557319189,19584.560833333333,,3
2019-05-01,sector 11,65,9782.84,108,906.0,26.99,1340.0,0,0,2019,621.0,965.0,23.47,5575.67,4222.2451530514745,25887.670000000002,,4
2019-06-01,sector 11,64,10260.91,108,1175.0,31.87,2282.0,0,0,2019,906.0,1340.0,26.99,6417.104,4112.246524848674,38287.84916666667,,5
2019-07-01,sector 11,28,5407.24,122,1095.0,34.14,1351.8,0,0,2019,1175.0,2282.0,31.87,7057.738333333334,3998.8662492232306,27979.06454545455,,6
2019-08-01,sector 11,44,10024.19,155,1109.0,27.89,1322.0,0,0,2019,1095.0,1351.8,34.14,6821.952857142857,3703.368682896309,36654.51222222222,,7
2019-09-01,sector 11,31,6432.66,126,1163.0,30.83,1625.0,0,0,2019,1109.0,1322.0,27.89,7222.2325,3610.7413166026486,19576.63888888889,,8
2019-10-01,sector 11,32,5791.0,123,1126.0,29.39,1221.0,0,0,2019,1163.0,1625.0,30.83,7134.502222222222,3387.7781307583364,19810.8,,9
2019-11-01,sector 11,21,4395.81,120,1116.0,34.18,1480.0,0,0,2019,1126.0,1221.0,29.39,7000.152,3222.1597950746573,17491.678,,10
2019-12-01,sector 11,47,7706.42,108,1224.0,38.86,2020.0,1,0,2019,1116.0,1480.0,34.18,6763.393636363637,3156.0548348793714,29529.067000000003,,11
2020-01-01,sector 11,21,4864.99,176,1222.0,38.2,1234.0,0,0,2020,1224.0,2020.0,38.86,6841.979166666667,3021.468813542237,20263.134615384617,10606.75,12
2020-02-01,sector 11,6,1190.47,111,1218.0,49.39,232.0,0,1,2020,1222.0,1234.0,38.2,6689.903076923078,2944.3426698002413,11945.565,805.17,13
2020-03-01,sector 11,69,11525.79,115,1474.0,45.63,1158.0,0,0,2020,1218.0,232.0,49.39,6297.086428571429,3187.877765064708,23921.313076923077,7085.3,14
2020-04-01,sector 11,74,13203.72,126,1636.0,40.44,2138.0,0,0,2020,1474.0,1158.0,45.63,6645.666666666667,3355.48653792703,18370.783846153845,3805.46,15
2020-05-01,sector 11,39,6734.41,104,1601.0,37.59,1398.0,0,0,2020,1636.0,2138.0,40.44,7055.545,3632.7227460001222,24648.836923076924,9782.84,16
2020-06-01,sector 11,61,8408.83,91,1549.0,36.1,1451.0,0,0,2020,1601.0,1398.0,37.59,7036.6547058823535,3518.230908365236,36131.93076923077,10260.91,17
2020-07-01,sector 11,95,15507.97,114,1949.0,34.35,2266.0,0,0,2020,1549.0,1451.0,36.1,7112.886666666667,3428.4745451774047,26098.079166666666,5407.24,18
2020-08-01,sector 11,102,14277.07,99,1830.0,25.96,1592.0,0,0,2020,1949.0,2266.0,34.35,7554.733157894737,3848.473918877243,33991.479999999996,10024.19,19
2020-09-01,sector 11,53,8537.62,102,1781.0,26.77,1546.0,0,0,2020,1830.0,1592.0,25.96,7890.85,4036.177510733066,18262.241,6432.66,20
2020-10-01,sector 11,26,3526.1,87,1760.0,31.45,1770.0,0,0,2020,1781.0,1546.0,26.77,7921.648571428571,3936.51013529533,18536.272727272728,5791.0,21
2020-11-01,sector 11,127,18425.13,93,1684.0,25.25,4145.0,0,0,2020,1760.0,1770.0,31.45,7721.850909090909,3954.291627732016,16301.144545454545,4395.81,22
2020-12-01,sector 11,102,17210.25,102,1609.0,22.0,3507.0,1,0,2020,1684.0,4145.0,25.25,8187.210869565218,4461.676069001335,27545.190000000002,7706.42,23
2021-01-01,sector 11,38,5920.85,99,1509.0,24.21,5181.0,0,0,2021,1609.0,3507.0,22.0,8563.170833333334,4736.386015721377,19163.267142857145,7735.87,24
2021-02-01,sector 11,28,4180.53,101,1486.0,28.69,2942.0,0,1,2021,1509.0,5181.0,24.21,8457.478000000001,4666.680173845037,11118.25,997.8199999999999,25
2021-03-01,sector 11,56,8901.14,102,1450.0,27.88,4241.0,0,0,2021,1486.0,2942.0,28.69,8292.98,4648.691975519996,23035.91857142857,9305.545,26
2021-04-01,sector 11,37,7819.04,125,1438.0,26.08,3624.0,0,0,2021,1450.0,4241.0,27.88,8315.504444444445,4559.9198171132975,18001.707857142857,8504.59,27
2021-05-01,sector 11,48,6863.39,94,1490.0,31.81,3943.0,0,0,2021,1438.0,3624.0,26.08,8297.773571428572,4475.663664413328,23369.235000000004,8258.625,28
2021-06-01,sector 11,35,7255.58,124,1469.0,38.8,2148.0,0,0,2021,1490.0,3943.0,31.81,8248.312068965517,4403.078350350371,34151.709285714285,9334.869999999999,29
2021-07-01,sector 11,36,5149.23,95,1426.0,38.24,2480.0,0,0,2021,1469.0,2148.0,38.8,8215.221,4330.292007580177,25283.455384615383,10457.605,30
2021-08-01,sector 11,51,9219.05,110,1393.0,33.76,4504.0,0,0,2021,1426.0,2480.0,38.24,8116.318064516129,4292.972950293242,32199.26090909091,12150.630000000001,31
2021-09-01,sector 11,26,5209.3,116,963.0,26.5,6553.0,0,0,2021,1393.0,4504.0,33.76,8150.7784375,4227.660527946342,17378.184545454544,7485.14,32
2021-10-01,sector 11,56,10197.3,113,1599.0,38.75,2838.0,0,0,2021,963.0,6553.0,26.5,8061.642727272728,4192.465803210469,17285.425,4658.55,33
